IMAGE_PATH,LABEL
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Impétigo/60.rs_1024x759_181210131926_1024_nicki_minja.cm.121018.jpg,Impétigo
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Eczema_nummulaire/3.donald_trump.jpg,Eczema_nummulaire
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Hemangiome/55.booba_announces_the_fight_of_mma_vs_kaaris_on_april_5_in_brussels.jpg,Hemangiome
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Pemphigus_foliacé/35.image_rohff_clip_trop_de_fiert_c3_a9.png,Pemphigus_foliacé
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Lupus/62.meaaagmpyoa_960.jpg,Lupus
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Hemangiome/8.326c4e6281afb4e62f66628d220730.jpg,Hemangiome
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Acné/25.54446726_417687912378591_5754104708792844288_n.jpg,Acné
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Hemangiome/24.buzz241.jpg,Hemangiome
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Dermohypodermite_bactérienne_non_necrosante_dhbnn/21.cardi_b.jpg,Dermohypodermite_bactérienne_non_necrosante_dhbnn
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Dermohypodermite_bactérienne_non_necrosante_dhbnn/13.cardi_b___openair_frauenfeld_2019_02.jpg,Dermohypodermite_bactérienne_non_necrosante_dhbnn
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Chéloides/1.fd50g4fg0.jpg,Chéloides
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Eczema_nummulaire/77.8fe6c56c_c4ea_11e9_a65c_0eda3a42da3c.jpg,Eczema_nummulaire
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Pemphigus_vulgaire/46.la_fouine_est_en_mode_fouiny_dance_a_cc_80_las_vegas_video.jpg,Pemphigus_vulgaire
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Dermohypodermite_bactérienne_non_necrosante_dhbnn/87.1536852101650824_cardi_b_jora_frantzis_press_image_2.jpg,Dermohypodermite_bactérienne_non_necrosante_dhbnn
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Impétigo/88.44f9297ed6b54096a56d94165b651e58.png,Impétigo
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Dermohypodermite_bactérienne_non_necrosante_dhbnn/71.cardi_b_rolling_stone_interview_cover_.jpg,Dermohypodermite_bactérienne_non_necrosante_dhbnn
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Lupus/48.mufera_srbica_sinik.jpg,Lupus
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Sclérodermie/1.beyonce___the_formation_world_tour_2c_at_wembley_stadium_in_london_2c_england.jpg,Sclérodermie
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Lupus/15.zii6impwzyj9.jpg,Lupus
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Pemphigus_foliacé/21.rohff_2_1280x720.jpg,Pemphigus_foliacé
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Pemphigus_foliacé/59.rohff_topbanner.png,Pemphigus_foliacé
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Impétigo/71.3500.jpg,Impétigo
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Pemphigus_foliacé/65.f37e1a4d65f1da24f57fd37b5c.jpeg,Pemphigus_foliacé
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Hemangiome/73.booba_et_kaaris_veulent_en_decoudre_sur_un_ring_de_boxe_1545753824.jpg,Hemangiome
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Impétigo/77.9bf76632_7b89_47cd_a9b6_bcd53a13c32f_afp_afp_1ij4he.jpg,Impétigo
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Pemphigus_foliacé/24.rohff_saturne_800x550.png,Pemphigus_foliacé
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Hemangiome/36.kaaris.jpg,Hemangiome
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Hemangiome/58.sfdgf_1.jpg,Hemangiome
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Eczema_nummulaire/54.donald_trump_august_2019_e1566168925130.jpg,Eczema_nummulaire
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Chéloides/44.b9721627003z.1_20191118141438_000_2bgnqeucku2.1_0.jpg,Chéloides
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Hemangiome/43.f2f2340a25c8dfc0f8d8ab1f5a048c85_ca_date_de_tres_longtemps_quand_booba_et_kaaris_racontent_leur_rivalite_aux_enqueteurs.png,Hemangiome
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Dermohypodermite_bactérienne_non_necrosante_dhbnn/30.7f11fe1ad3341e8bb5bca9654260aa19.jpeg,Dermohypodermite_bactérienne_non_necrosante_dhbnn
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Lupus/41.264.jpg,Lupus
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Impétigo/24.nintchdbpict000519211452.jpg,Impétigo
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Hemangiome/34.02064647.084370.2860.jpeg,Hemangiome
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Eczema_nummulaire/81.rts2t2e0_layout_comp.jpg,Eczema_nummulaire
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Impétigo/41.1567757033_039646_1567757280_noticia_normal.jpg,Impétigo
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Pemphigus_vulgaire/61.870x489_25348600_10155391342588893_4664902686195833225_n_53579.jpg,Pemphigus_vulgaire
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Hemangiome/28.801x410_booba_kaaris.jpg,Hemangiome
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Chéloides/24.booba_3_1_1280x720.png,Chéloides
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Lupus/72.geometricheskie_tatuirovki_ot_bicem_sinik_1.jpg,Lupus
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Eczema_nummulaire/15.vote_contre_lui_a_la_chambre_lettre_surrealiste_un_1000e_jour_catastrophique_pour_donald_trump.jpg,Eczema_nummulaire
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Pemphigus_vulgaire/58.la_fouine_n.png,Pemphigus_vulgaire
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Chéloides/45.booba_dement_l_annulation_de_son_combat_avec_kaaris_570x238.jpg,Chéloides
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Impétigo/11.gettyimages_1141829251.jpg,Impétigo
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Pemphigus_vulgaire/55.lafouine1.jpg,Pemphigus_vulgaire
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Lupus/49.1431582361_01.jpg,Lupus
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Impétigo/64.if_you_see_something_today_let_it_be_the_wax.jpg,Impétigo
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Pemphigus_vulgaire/48.la_fouine_et_dj_aymoune.jpg,Pemphigus_vulgaire
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Eczema_nummulaire/56.3gqnt6a6vchoo5ilkvhslffape.jpg,Eczema_nummulaire
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Pemphigus_foliacé/69.11419026.jpg,Pemphigus_foliacé
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Impétigo/21.minaj3.jpg,Impétigo
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Sclérodermie/24.beyonce_cc_81_homecoming.jpg,Sclérodermie
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Pemphigus_foliacé/29.870x489_rohff_x_booba_x_nej_64949.jpg,Pemphigus_foliacé
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Lupus/25.maxresdefault_207.jpg,Lupus
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Dermohypodermite_bactérienne_non_necrosante_dhbnn/46.cardi_b_messika_wild_moon_collection.jpg,Dermohypodermite_bactérienne_non_necrosante_dhbnn
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Impétigo/19.nicki_minaj.2_f.jpg,Impétigo
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Dermohypodermite_bactérienne_non_necrosante_dhbnn/78.messika_cardi_b_sea_king_collection_1.jpg,Dermohypodermite_bactérienne_non_necrosante_dhbnn
/home/joseph/idermatoDeepLearning/./data/raw_Data/images_medicales/Dermohypodermite_bactérienne_non_necrosante_dhbnn/17.cardi_b_skipped_the_grammys_red_carpet_but_heres_her.jpg,Dermohypodermite_bactérienne_non_necrosante_dhbnn
